song;album;popularity;danceability;acousticness;loudness;tempo;energy
11 y 6;Giros;75;0.0756;0.756;-16.922;101.3;0.325
El amor despues del amor;El amor despues del amor;72;0.641;0.00357;-6.536;94.884;0.797
Dos en la ciudad;Abre;63;0.546;0.112;-7.98;89.984;0.707
Tumbas de gloria;El amor despues del amor;66;0.526;0.0583;-9.66;112.298;0.611
Tu encanto;Sencillo;56;0.571;0.0489;-4.222;122.061;0.939
Tu vida en mi vida;La ciudad liberada;57;0.735;0.134;-14.276;115.988;0.543
