song;album;popularity;danceability;acousticness;loudness;tempo;energy
Mariposa Tecnicolor;Circo beat;73;0.509;0.887;
A rodar mi vida;El amor despues del amor;68;0.672;0.837
Dar a dar;Euforia;63;0.635;0.632
Dos dias en la vida;Abre;66;0.536;0.707
Dale alegria a mi corazon;Tercer Mundo;60;0.618;0.367
Tema de Pilusa;Circo beat;54;0.555;0.79
